,SECONDARY
16621,Y
16666,Y
16671,Y
16678,Y
16683,Y
16697,Y
16706,Y
16707,Y
16713,Y
16724,Y
16731,Y
16737,Y
16740,Y
16758,Y
16761,Y
16762,Y
16766,Y
16782,Y
16806,Y
16837,Y
16850,Y
16864,Y
16873,Y
16880,Y
16894,Y
16916,Y
16925,Y
16938,Y
16939,Y
16959,Y
16963,Y
16964,Y
17022,Y
17027,Y
17030,Y
17045,Y
17046,Y
17047,Y
17048,Y
17054,Y
17055,Y
17056,Y
17057,Y
17058,Y
17059,Y
17064,Y
17066,Y
17079,Y
17094,Y
17095,Y
17101,Y
17103,Y
17112,Y
17168,Y
17206,Y
17225,Y
17316,Y
17319,Y
17431,Y
17442,Y
17451,Y
17491,Y
17504,Y
17508,Y
17509,Y
17510,Y
17511,Y
17512,Y
17513,Y
17514,Y
17515,Y
17516,Y
17517,Y
17518,Y
17519,Y
17520,Y
17521,Y
17523,Y
17524,Y
17525,Y
17526,Y
17527,Y
17529,Y
17530,Y
17531,Y
17533,Y
17534,Y
17536,Y
17537,Y
17540,Y
17545,Y
17546,Y
17552,Y
17553,Y
17557,Y
17559,Y
17564,Y
17565,Y
17594,Y
17595,Y
17598,Y
17599,Y
17600,Y
17601,Y
17602,Y
17603,Y
17604,Y
17605,Y
17606,Y
17607,Y
17608,Y
17611,Y
17612,Y
17613,Y
17614,Y
17615,Y
17616,Y
17617,Y
17618,Y
17619,Y
17620,Y
17621,Y
17622,Y
17625,Y
17626,Y
17627,Y
17630,Y
17631,Y
17632,Y
17633,Y
17634,Y
17635,Y
17636,Y
17637,Y
17638,Y
17639,Y
17640,Y
17641,Y
17642,Y
17643,Y
17644,Y
17646,Y
17647,Y
17648,Y
17649,Y
17651,Y
17652,Y
17653,Y
17654,Y
17655,Y
17656,Y
17657,Y
17658,Y
17659,Y
17660,Y
17661,Y
17662,Y
17663,Y
17664,Y
17665,Y
17666,Y
17667,Y
17668,Y
17669,Y
17670,Y
17671,Y
17672,Y
17673,Y
17674,Y
17675,Y
17676,Y
17677,Y
17678,Y
17679,Y
17680,Y
17681,Y
17682,Y
17686,Y
17690,Y
17693,Y
17695,Y
17696,Y
17698,Y
17699,Y
17700,Y
17702,Y
17703,Y
17704,Y
17705,Y
17706,Y
17707,Y
17709,Y
17710,Y
17712,Y
17758,Y
17768,Y
17769,Y
17771,Y
17789,Y
17816,Y
17832,Y
17899,Y
17907,Y
17950,Y
17953,Y
17954,Y
17955,Y
17969,Y
17986,Y
18033,Y
18036,Y
18038,Y
18106,Y
18107,Y
18113,Y
18121,Y
18122,Y
18126,Y
18167,Y
18179,Y
18180,Y
18181,Y
18214,Y
18220,Y
18221,Y
18222,Y
18237,Y
18256,Y
18261,Y
18263,Y
18273,Y
18276,Y
18298,Y
18299,Y
18300,Y
18301,Y
18303,Y
18304,Y
18306,Y
18307,Y
18309,Y
18310,Y
18312,Y
18313,Y
18314,Y
18315,Y
18316,Y
18317,Y
18319,Y
18320,Y
18321,Y
18323,Y
18324,Y
18325,Y
18326,Y
18329,Y
18331,Y
18332,Y
18333,Y
18334,Y
18346,Y
18349,Y
18350,Y
18351,Y
18363,Y
18368,Y
18371,Y
18379,Y
18380,Y
18402,Y
18407,Y
18409,Y
18410,Y
18411,Y
18412,Y
18415,Y
18416,Y
18418,Y
18419,Y
18420,Y
18427,Y
18431,Y
18435,Y
18438,Y
18449,Y
18456,Y
18459,Y
18467,Y
18468,Y
18472,Y
18473,Y
18478,Y
18497,Y
18499,Y
18503,Y
18524,Y
18533,Y
18544,Y
18553,Y
18559,Y
18572,Y
18597,Y
18623,Y
18653,Y
18654,Y
18661,Y
18665,Y
18684,Y
18686,Y
18687,Y
18691,Y
18692,Y
18725,Y
18906,Y
18910,Y
18912,Y
18928,Y
18929,Y
18933,Y
18937,Y
18940,Y
18941,Y
18952,Y
18958,Y
18960,Y
18961,Y
18962,Y
18969,Y
18970,Y
18972,Y
18973,Y
18985,Y
18992,Y
18993,Y
18994,Y
18995,Y
18996,Y
19055,Y
19058,Y
19062,Y
19065,Y
19079,Y
19104,Y
19108,Y
19124,Y
19127,Y
19134,Y
19151,Y
19152,Y
19153,Y
19161,Y
19171,Y
19172,Y
19173,Y
19174,Y
19175,Y
19176,Y
19185,Y
19188,Y
19194,Y
19207,Y
19212,Y
19259,Y
19271,Y
19282,Y
19349,Y
19374,Y
19496,Y
19507,Y
19518,Y
19677,Y
19678,Y
19679,Y
19680,Y
19706,Y
19711,Y
19722,Y
19726,Y
19734,Y
19740,Y
19749,Y
19789,Y
19817,Y
19829,Y
19832,Y
19833,Y
19834,Y
19835,Y
19836,Y
19837,Y
19856,Y
19859,Y
19860,Y
19861,Y
19902,Y
19951,Y
19958,Y
19966,Y
19981,Y
20018,Y
20051,Y
20053,Y
20070,Y
20076,Y
20080,Y
20084,Y
20085,Y
20093,Y
20095,Y
20102,Y
20103,Y
20107,Y
20109,Y
20112,Y
20155,Y
20183,Y
20203,Y
20237,Y
20238,Y
20239,Y
20240,Y
20247,Y
20318,Y
20366,Y
20375,Y
20403,Y
20413,Y
20469,Y
20470,Y
20479,Y
20584,Y
20589,Y
20643,Y
20653,Y
20693,Y
20700,Y
20703,Y
20720,Y
20724,Y
20754,Y
20761,Y
20762,Y
20768,Y
20774,Y
20789,Y
20811,Y
20839,Y
20875,Y
20887,Y
20910,Y
20992,Y
21005,Y
21014,Y
21018,Y
21019,Y
21025,Y
21038,Y
21043,Y
21057,Y
21058,Y
21077,Y
21082,Y
21084,Y
21104,Y
21138,Y
21173,Y
21179,Y
21223,Y
21226,Y
21229,Y
21233,Y
21235,Y
21271,Y
21272,Y
21278,Y
21290,Y
21293,Y
21320,Y
21333,Y
21380,Y
21410,Y
21417,Y
21429,Y
21434,Y
21455,Y
21456,Y
21459,Y
21460,Y
21463,Y
21464,Y
21465,Y
21466,Y
21467,Y
21468,Y
21471,Y
21473,Y
21475,Y
21476,Y
21477,Y
21480,Y
21481,Y
21482,Y
21489,Y
21519,Y
21649,Y
21652,Y
21653,Y
21654,Y
21657,Y
21658,Y
21659,Y
21698,Y
21702,Y
21704,Y
21706,Y
21707,Y
21709,Y
21710,Y
21714,Y
21720,Y
21764,Y
21771,Y
21787,Y
21788,Y
21797,Y
21802,Y
21807,Y
21808,Y
21810,Y
21820,Y
21822,Y
21842,Y
21851,Y
21870,Y
21929,Y
21937,Y
21974,Y
21991,Y
21992,Y
21993,Y
21994,Y
22015,Y
22017,Y
22035,Y
22038,Y
22064,Y
22067,Y
22074,Y
22080,Y
22084,Y
22098,Y
22123,Y
22127,Y
22144,Y
22146,Y
22157,Y
22227,Y
22228,Y
22241,Y
22249,Y
22251,Y
22252,Y
22253,Y
22254,Y
22255,Y
22256,Y
22266,Y
22267,Y
22280,Y
22283,Y
22320,Y
22343,Y
22345,Y
22348,Y
22349,Y
22351,Y
22353,Y
22354,Y
22355,Y
22356,Y
22358,Y
22368,Y
22369,Y
22440,Y
22453,Y
22454,Y
22457,Y
22458,Y
22464,Y
22490,Y
22491,Y
22501,Y
22502,Y
22503,Y
22529,Y
22620,Y
22629,Y
22630,Y
22658,Y
22661,Y
22670,Y
22671,Y
22672,Y
22674,Y
22676,Y
22678,Y
22679,Y
22681,Y
22685,Y
22687,Y
22688,Y
22695,Y
22699,Y
22700,Y
22704,Y
22706,Y
22707,Y
22710,Y
22905,Y
